"Taxon","Common","Observer","Source","year","date","InfestedArea","Percent Cover","GrossArea","Low_Plant","High_Plant","lat","lng","Datum","Elevation (meters)","Notes","description"
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Jeff Greenhouse (via John Game)","East Bay CNPS Rare and Unusual Plants Database",2002,"2002-01-01"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al",
"Chloropyron molle ssp. hispidum","Hispid bird's-beak","Jeff Greenhouse"," ",2000,"2000-07-06"," "," "," ",,1,37.71922,-121.73731,"NAD83",155,"Cordylanthus m. ssp. h. ~120 plants seen. Overall color is creamy white from long bristly hairs. C. palmatus has general purple cast on stem and lower lvs. The two species occur together for part of their ranges.",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","A. Dillworth","East Bay CNPS Rare and Unusual Plants Database",1999,"1999-05-26"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al 200 plants",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","James D. Jokerst","Consortium of California Herbaria",1986,"1986-06-05","x"," "," ",,1,37.6933333,-121.7597222,"NAD83",180,"CHSC67604",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","A. Howard and M. Zander","East Bay CNPS Rare and Unusual Plants Database",1983,"1983-08-12"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","A. Q. Howard and Michael Zander","Consortium of California Herbaria",1983,"1983-08-12","x"," "," ",,1,37.7233,-121.7486,"NAD83",155,"JEPS82148",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","S. Cochrane and S. Harrison","East Bay CNPS Rare and Unusual Plants Database",1983,"1983-07-06"," "," "," ",,1,37.71866,-121.7379,"NAD83",155,"Local Rarity: *A1. 2003 - Documented by John Game et al",
"Cordylanthus mollis ssp. hispidus","Hispid bird's-beak","Susan Cochrane, Sandy Harrison","Consortium of California Herbaria",1983,"1983-07-06","x"," "," ",,1,37.7298,-121.7413,"NAD83",159,"JEPS83023",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Andrea Williams","MMWD, CAS",2012,"2012-06-23","x"," ","7000 Acres",,1,37.9361,-122.588,"NAD83",505,"Compilation specimens collected on numerous blitz days, smoothed to TJMII nomenclature.",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","E. Wrubel, A. Castner, E. Tyson, et al.","Consortium of California Herbaria",2012,"2012-06-23","x"," "," ",,1,37.925319,-122.608772,"NAD83",614,"CAS1127362",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Janet Klein, Alan Castner, Giselle Block, Louis W., Matt W., Dawn","MMWD, California Academy of Sciences",2012,"2012-05-05"," "," "," ",11,50,37.925269,-122.608819,"NAD83",614,"Not collected Observation based on photograph P1000067.JPG by Alan Castner; Location derived from Geotagged photo, processed by Google reverse georeferencing.",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Chris Friedel, Ove Anderson, Jamie Baxter, Elizabeth Tyson, Iryna Pustova","MMWD and California Academy of Sciences",2012,"2012-05-05"," "," "," ",,1,37.91426,-122.60374,"NAD83",495,"Observation based on photograph Mt-Tam-361.jpg by Ove Anderson; Location derived from Geotagged photo, processed by Google reverse georeferencing. SW. Original ID Cirsium (hydrophilum?)",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Andrea Williams","MMWD",2012,"2012-03-29","x"," ","700 Square Feet",,1,37.914256,-122.603724,"NAD83",495,"Serpentine seep with a dash of Doug-fir/live oak forest downslope. List incomplete and with a fair # guesses.",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Thomas Reyes"," ",2011,"2011-01-10"," "," "," ",,1,37.914256,-122.602529,"NAD83",484,"One flowering individual, several rosettes",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","D. G. Kelch","Consortium of California Herbaria",2008,"2008-01-19","x"," "," ",,1,37.9672222,-122.6313889,"NAD83",306,"CDA23606",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","D. G. Kelch","Consortium of California Herbaria",2008,"2008-01-19","x"," "," ",,1,37.967222,-122.631389,"NAD83",306,"OBI70527",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Doreen Smith et al.","Marin CNPS",2006,"2006-05-28","x"," "," ",,1,37.92,-122.612,"NAD83",686," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Wilma Follette, Doreen Smith, et al.","Marin CNPS",2005,"2005-05-10","x"," "," ",,1,37.962,-122.619,"NAD83",322," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Wilma Follette, Doreen Smith et al.","Marin CNPS",2004,"2004-03-03","x"," "," ",,1,37.913,-122.603,"NAD83",489," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Wilma Follette et al.","Marin CNPS",1999,"1999-04-06","x"," "," ",,1,38.004,-122.656,"NAD83",336," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Jeff Greenhouse"," ",1987,"1987-07-19"," "," "," ",,1,37.9274,-122.592,"NAD83",699," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Roger Raiche","Consortium of California Herbaria",1985,"1985-08-03","x"," "," ",,1,37.968951,-122.644487,"NAD83",278,"CAS731987",
"Cirsium hydrophilum","Suisun thistle","Resource Preservation, 1978","California State Parks",1978,"1978-01-01","x"," "," ",,1,37.89619,-122.60279,"NAD83",396," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Resource Preservation, 1978","California State Parks",1978,"1978-01-01","x"," "," ",,1,37.89619,-122.60279,"NAD83",396," ",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","T. C. Fuller","Consortium of California Herbaria",1974,"1974-09-10","x"," "," ",,1,37.9127778,-122.5963889,"NAD83",353,"CDA1244",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","P. H. Raven, R. Snow","Consortium of California Herbaria",1958,"1958-07-25","x"," "," ",,1,37.9165,-122.5942,"NAD83",537,"RSA125022",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Peter H. Raven, R. Snow","Consortium of California Herbaria",1958,"1958-07-25","x"," "," ",,1,37.9273,-122.59169,"NAD83",691,"JEPS23569",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Peter H. Raven","Consortium of California Herbaria",1950,"1950-07-20","x"," "," ",,1,37.9110234,-122.6055765,"NAD83",520,"CAS413803",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","P. H. Raven","Consortium of California Herbaria",1950,"1950-06-04","x"," "," ",,1,37.9129,-122.5997,"NAD83",428,"GH427965",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Peter H. Raven","Consortium of California Herbaria",1950,"1950-06-04","x"," "," ",,1,37.9128856,-122.5922727,"NAD83",426,"CAS413801",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","John Thomas Howell","Consortium of California Herbaria",1944,"1944-06-18","x"," "," ",,1,37.9455173,-122.6103401,"NAD83",375,"CAS365923",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","John Thomas Howell","Consortium of California Herbaria",1942,"1942-07-12","x"," "," ",,1,37.9255727,-122.6107907,"NAD83",605,"CAS365911",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","John Thomas Howell","Consortium of California Herbaria",1938,"1938-06-05","x"," "," ",,1,37.9122,-122.5933,"NAD83",383,"CAS257371",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","John Thomas Howell","Consortium of California Herbaria",1936,"1936-06-07","x"," "," ",,1,37.9110234,-122.6055765,"NAD83",520,"CAS237785",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Edward Lee, W. Joseph","Consortium of California Herbaria",1935,"1935-07-18","x"," "," ",,1,37.927837,-122.58021,"NAD83",704,"JEPS81258",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Miss Harriet A. Walker","Consortium of California Herbaria",2014,"2014-09-27","x"," "," ",,1,37.910717,-122.60296,"NAD83",464,"UC183810",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Alice Eastwood","Consortium of California Herbaria",2013,"2013-07-10","x"," "," ",,1,37.945036,-122.63367,"NAD83",252,"CAS5492",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Alice Eastwood","Consortium of California Herbaria",2012,"2012-08-03","x"," "," ",,1,37.9237532,-122.5975513,"NAD83",768,"CAS115537",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","Alice Eastwood","Consortium of California Herbaria",1996,"1996-06-28","x"," "," ",,1,37.925594,-122.6053,"NAD83",623,"UC91570",
"Cirsium hydrophilum var. vaseyi","Mt. tamalpais thistle","K. Brandegee","Consortium of California Herbaria",1990,"1990-07-01","x"," "," ",,1,37.7976,-122.4649,"NAD83",84,"UC91748",
"Lepidium latifolium","Perennial pepperweed","Mike Perlmutter and Ruth Gravanis","Bay Area Early Detection Network",2011,"2011-09-02"," "," "," ",,1,37.813675,-122.370113,"NAD83",9," ",
"Lepidium latifolium","Perennial pepperweed","Weed Watcher Volunteer","National Park Service [SFAN]",2009,"2009-08-13"," "," "," ",," ",37.80523,-122.458816,"NAD83"," ","point drawn in from office after keying out, not very accurate",
"Lepidium latifolium","Perennial pepperweed","Jennifer Robinson","BAEDN; SFWMA; Port of SF(2008)",2008,"2008-08-04","x"," "," ",,1,37.745934,-122.375526,"NAD83",2,"polygon centroid",
"Lepidium latifolium","Perennial pepperweed","Mike Wood","BAEDN; SFWMA; Wood 2007",2007,"2007-01-16","x"," "," ",,1,37.81124,-122.368229,"NAD83",81,"polygon centroid",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2014,"2014-09-24","3.0 square meters",15,"19.796804 square meters",,100,37.9278075,-122.6822231667,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Wrubel, Eric","National Park Service",2014,"2014-09-24"," "," "," ",," ",37.934601,-122.695764,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2014,"2014-09-24"," "," "," ",," ",37.9278075,-122.6822231667,"NAD83"," ","Not in park.",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014,"2014-08-11"," "," ","0.201 Acres",51,100,38.0779646,-122.5313088,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","95 - 100","119.9 Square Meters",51,100,38.0801419126,-122.5295020267,"NAD83",1,"one of many significant populations in area",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","95 - 100","747.4 Square Meters",101,1000,38.0801603864,-122.5291442871,"NAD83",1,"a few solid populations, many in this area",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","25 - 50","404 Square Meters",101,1000,38.0804798514,-122.5291015394,"NAD83",0," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","50 - 75"," ",11,50,38.0804896162,-122.5283719786,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014,"2014-08-11"," "," ","189.3 Square Meters",101,1000,38.0787248222,-122.5285697915,"NAD83",1," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Staff",2014,"2014-08-11"," "," ","756.8 Square Meters",51,100,38.1230038597,-122.558691334,"NAD83",0," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","50 - 75","2.1 Square Meters",11,50,38.1239688103,-122.5579376332,"NAD83",1," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","50 - 75","554.6 Square Meters",101,1000,38.1248705784,-122.5573255867,"NAD83",1," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","Marin County Parks Early Detection",2014,"2014-08-11"," ","75 - 95","1402.6 Square Meters",1001,10000,38.1206421367,-122.5626177527,"NAD83",0,"not on county open space land",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-24"," ","25 - 50","0.232033 Acres",,600,38.10154006,-122.54089391,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-24"," ","25 - 50","0.306446930779 Acres",,1,38.101551,-122.54087996,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","0.00%","< 0.1 Acres",,0,38.09345801,-122.5386456,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","05/25/15","1.89235 Acres",," ",38.09973923,-122.54094984,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","05/25/15","1.24398 Acres",,300,38.0199558,-122.51891479,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","05/25/15","1.48819 Acres",,200,37.99309061,-122.45288268,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","05/25/15","0.101976 Acres",,57,38.01874156,-122.51519254,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Teri Lim","MCOSD",2014,"2014-06-23"," ","0.00%","< 0.1 Acres",,0,38.01420533,-122.51029169,"NAD83"," ","No plants found 06/23/14",
"Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014,"2014-06-23"," ",0,"0.0496382683922 Acres",,0,37.99222344,-122.45155792,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014,"2014-06-23"," ",0,"0.0752982804189 Acres",,0,38.01723865,-122.50748748,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014,"2014-06-23"," ",0,"0.0240544067892 Acres",,0,38.0184841,-122.52284389,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014,"2014-06-23"," ",0,"0.069058671517 Acres",,0,38.01982532,-122.51973537,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","staff","MCOSD",2014,"2014-06-23"," ",0,"0.00948923684011 Acres",,0,38.02127376,-122.51587245,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Trumbo, Joel","CA Dept of Fish & Wildlife",2014,"2014-06-03"," "," "," ",101,1000,38.232908,-122.912904,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Trumbo, Joel"," ",2014,"2014-06-03"," "," "," ",,1,38.229571,-122.915521,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Trumbo, Joel","CA Dept of Fish & Wildife",2014,"2014-06-03"," "," "," ",,1,38.226233,-122.917174,"NAD83",2,"scattered patches, first control initiated in 2008, no follow-up until 2014. Infestation does not seem to be spreading rapidly. Much reduced from 2008.",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","50 - 75"," ",11,50,38.1266126322,-122.5305554643,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","75 - 95"," ",11,50,38.126663,-122.530383,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","25 - 50"," ",11,50,38.12715,-122.530241,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","50 - 75"," ",11,50,38.12733,-122.530305,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","05/25/15"," ",2,10,38.127168,-122.530058,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez ","Marin County Parks Early Detection",2014,"2014-05-15"," ","50 - 75"," ",101,1000,38.1263044461,-122.5288420357,"NAD83",17," ",
"Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014,"2014-05-14"," ","25 - 50","0.140799 Acres",,250,38.0961678,-122.5402781,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014,"2014-05-14"," ","05/25/15","0.767234 Acres",,200,38.10023862,-122.54098056,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014,"2014-05-14"," ","05/25/15","0.00294485 Acres",,3,38.09876565,-122.54323167,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014,"2014-05-14"," ","0.00%","< 0.1 Acres",,0,38.09817831,-122.54269628,"NAD83"," ","None found this year.",
"Lepidium latifolium","Perennial pepperweed","Steve Pye","MCOSD",2014,"2014-05-14"," ","0.00%","< 0.1 Acres",,0,38.09345801,-122.5386456,"NAD83"," ","Nothing living in this patch.",
"Lepidium latifolium","Perennial pepperweed","Bryan Derr","MCOSD",2014,"2014-04-03"," ","05/25/15","0.0092302 Acres",,100,37.88376327,-122.5111941,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","jachapman","iNaturalist",2014,"2014-03-28"," "," "," ",,1,38.067879,-122.814887,"NAD83",2,"Pepper weed, non native",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2014,"2014-03-20"," "," "," ",,1,37.946193,-122.508525,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Vertin Alvarez "," ",2014,"2014-02-19"," ","01/05/15","60 Square Meters",101,1000,37.89216861,-122.52535035,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-06-18"," ","25 - 50","1.20914 Acres",,0,38.09992064,-122.54104166,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-06-17"," ","01/05/15","0.201403 Acres",,0,38.01871318,-122.52054391,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-06-17"," ","01/05/15","0.109838 Acres",,0,37.9919647,-122.4516934,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-06-17"," ","05/25/15","0.782934 Acres",,0,38.01563824,-122.51054528,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-06-17"," ",16.5," ",,1,38.00273976,-122.46419723,"NAD83",2,"treated",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-06-17"," ",16.5," ",,1,38.00270516,-122.46344248,"NAD83",1,"treated",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-06-17"," ",16.5," ",,1,38.00334523,-122.469069,"NAD83",2,"treated",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-06-17"," ",16.5," ",,1,38.00401184,-122.47031934,"NAD83",1,"treated. very sparse",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-06-17"," ",16.5," ",,1,38.00665371,-122.48127121,"NAD83",2,"treated",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2013,"2013-05-28"," "," "," ",,1,37.944071,-122.503927,"NAD83",5," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-05-08"," ","25 - 50","0.0116921 Acres",,300,38.09874864,-122.54328043,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-05-08"," ","01/05/15","1.90885E-4 Acres",,2,38.09827348,-122.54271825,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-05-08"," ","25 - 50","0.148363 Acres",,1200,38.09620498,-122.54032208,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013,"2013-05-08"," ","05/25/15","0.748456 Acres",,2000,38.1000594,-122.5411219,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","MCOSD",2013,"2013-05-08"," ","0 - 1 %","< 0.1 Acres",,1,38.01860196,-122.5154544,"NAD83"," ","Just starting to bud. Doesn't seem like that many less than last year, though there are some dead areas that were probably from spray last year where there was none.",
"Lepidium latifolium","Perennial pepperweed","Pete Frye","MCOSD",2013,"2013-05-08"," ","0 - 1 %","< 0.1 Acres",,1,38.01947529,-122.51384309,"NAD83"," ","Only found 2 plants. (Leah pulled one because she didn't know not to.) Hopefully we can find the one plant again when we come back to spray. It is right near two wooden posts and path through coyote brush.",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-04-02"," ",16.5," ",,1,37.99980515,-122.46068077,"NAD83",2,"Public use beach. Hand pulled.",
"Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013,"2013-04-02"," ",16.5," ",,1,38.00478956,-122.47279472,"NAD83",1,"Bounded on north by rocky point, on south by bullrushes.",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2012,"2012-08-22","3.2 square meters",3,"105.1686 square meters",,200,37.9336746018,-122.6950507093,"NAD83"," ","with fennel, gumplant, salsola soda, and pickleweed",
"Lepidium latifolium","Perennial pepperweed","Wrubel, Eric","SFNPS Early Detection",2012,"2012-08-22"," "," "," ",,1,37.9336746018,-122.6950507093,"NAD83",1,"lela2x16122012082201",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2012,"2012-08-22"," "," "," ",," ",37.9336746018,-122.6950507093,"NAD83"," "," ",
"Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2012,"2012-08-20"," "," "," ",,1,37.933661,-122.69511,"NAD83",1," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","1 Square Feet","05/25/15","5 Square Meters",11,50,38.226931,-122.917063,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","1 Square Meters","05/25/15","5 Square Meters",11,50,38.226931,-122.917063,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","2 Square Meters","05/25/15","10 Square Meters",101,1000,38.22659,-122.917123,"NAD83",2," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","5 Square Meters","05/25/15","20 Square Meters",11,50,38.229651,-122.915453,"NAD83",3," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","2 Square Meters","05/25/15","10 Square Meters",11,50,38.229401,-122.915563,"NAD83",4," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","1 Square Meters","05/25/15","5 Square Meters",,1,38.229263,-122.91566,"NAD83",4," ",
"Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012,"2012-07-03","1 Square Feet","01/05/15","5 Square Meters",2,10,38.228709,-122.916059,"NAD83",4," ",
