"ID","Taxon","Common","Observer","Source","Date","Year","Phenology",,"InfestedArea_squarem",,"GrossArea_acre","Percent_Cover","Distribution","National Ownership","County","x","y","Location Description","description"
"casp63","Carpobrotus edulis","Iceplant","Easton, 1987","California State Parks","1987-01-01",1987,,,,,,,,"State Government","Orange",33.63842,-117.97238,"Huntington SB",
"gr9612","Carpobrotus edulis","Iceplant","Wymer, Nancy E.","G.F. Hrusa checklists","1987-01-01",1987,,,,,,,,"Other / Unknown","Sacramento",38.6,-121.45,"Cal Expo Floodplain American River Floodplain; I-80 to Cal Expo, Exposition Blvd.",
"casp22","Carpobrotus edulis","Iceplant","Martens & Helm, 1987","California State Parks","1987-01-01",1987,,,,,,,,"State Government","Sacramento",38.11544,-121.69185,"Brannan Island SRA",
"gr5138","Carpobrotus edulis","Iceplant","Bob Muns","Tom Chester","1988-01-01",1988,,,,,,,,"Public Land","Los Angeles",34.0368,-118.683,"Malibu Lagoon State Park",
"casp74","Carpobrotus edulis","Iceplant","DPR Staff, 1988","California State Parks","1988-01-01",1988,,,,,,,,"State Government","Los Angeles",34.00973,-118.36637,"Kenneth Hahn SRA",
"gr5141","Carpobrotus edulis","Iceplant","Bob Muns","Tom Chester","1988-01-01",1988,,,,,,,,"Public Land","Ventura",34.1122,-118.99,"Point Mugu State Park",
"gr13882","Mesembryanthemum edule","Iceplant","Ken Himes","Santa Clara Valley CNPS","1989-10-21",1989,,,,,,,,"Public Land","San Mateo",37.2638,-122.404,"Pescadero Marsh",
"casp50","Carpobrotus edulis","Iceplant","Bowcutt and Swezy","California State Parks","1990-01-01",1990,,,,,,,,"State Government","Mendocino",39.12724,-123.71631,"Greenwood SB",
"casp83","Carpobrotus edulis","Iceplant","Bowcutt, 1990","California State Parks","1990-01-01",1990,,,,,,,,"State Government","Mendocino",39.50688,-123.78293,"MacKerricher SP",
"casp85","Carpobrotus edulis","Iceplant","Bowcutt and Swezy","California State Parks","1990-01-01",1990,,,,,,,,"State Government","Mendocino",38.979161,-123.702621,"Manchester SP",
"casp45","Carpobrotus edulis","Iceplant","Martin and Roye, 1990","California State Parks","1990-01-01",1990,,,,,,,,"State Government","Monterey",36.46695,-121.91018,"Garrapata SP",
"casp116","Carpobrotus edulis","Iceplant","Martin and Roye, 1990","California State Parks","1990-01-01",1990,,,,,,,,"State Government","Monterey",36.30683,-121.89156,"Point Sur SHP",
"ce198","Carpobrotus edulis","Iceplant","Bob Muns","Tom Chester","1990-01-01",1990,,,,,,,,"Public Land","San Diego",32.923978,-117.250556,"Torrey Pines State Reserve",
"jgr13301","Layia carnosa","Beach Layia","Jeff Greenhouse",,"1991-05-21",1991,,,,,,,,"Other / Unknown","Marin",38.1174,-122.953,"Point Reyes - Abbott's Lagoon",
159962,"Charadrius nivosus","Snowy Plover","greglasley","inaturalist","1992-05-04",1992,,,,,,,,,,30.2097260338,-97.5919070626,"Hornsby Bend Wastewater Treatment Ponds and Wildlife Areas","Snowy Plover
Hornsby Bend
Austin, Travis Co., Texas
4 May 92

Cruddy image, but the only one I have from Austin. Bird was waaaay off and this is best I can do cropping the tiny image on the slide."
"casp142","Carpobrotus edulis","Iceplant","Moss Landing Marine, 1993","California State Parks","1993-01-01",1993,,,,,,,,"State Government","Santa Cruz",36.99171,-122.10623,"Wilder Ranch SP",
"gr5136","Carpobrotus edulis","Iceplant","Bob Muns","Tom Chester","1994-01-01",1994,,,,,,,,"Public Land","Los Angeles",34.1981,-118.1007,"Lower Eaton Canyon San Gabriel Mountains",
"GG695","Carpobrotus edulis","Iceplant","Tom Celebrezze;  Eva Gnotkopp","Presidio Natural Resources","1994-01-01",1994,,,,,,,,"Public Land","San Francisco",37.7889,-122.46889,"Golf Course West",
"GG573","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1994-01-01",1994,,,,,1.496,,,"Public Land","San Francisco",37.79094,-122.474174,"Presidio Hills; Wetland",
"GG572","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1994-01-01",1994,,,,,2.337,,,"Public Land","San Francisco",37.790036,-122.473533,"Presidio Hills; Lessingia Recovery",
"GG570","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1994-01-01",1994,,,,,1.943,,,"Public Land","San Francisco",37.791392,-122.47441,"Presidio Hills; Scrub Recovery",
"GG568","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1994-01-01",1994,,,,,0.623,,,"Public Land","San Francisco",37.790214,-122.473135,"Presidio Hills; Oak Woodland",
"GG566","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1994-01-01",1994,,,,,1.553,,,"Public Land","San Francisco",37.790847,-122.473403,"Presidio Hills; East Scrub",
"GG562","Carpobrotus edulis","Iceplant","Mike Vasey;  Isabelle DeGeoffrey","Presidio Natural Resources","1994-01-01",1994,,,,,1.132,,,"Public Land","San Francisco",37.790681,-122.456856,"Southeast Dunes; West Pacific Natural Areas",
"GG553","Carpobrotus edulis","Iceplant","Mike Vasey;  Isabelle DeGeoffrey","Presidio Natural Resources","1994-01-01",1994,,,,,33.47,,,"Public Land","San Francisco",37.788087,-122.47918,"Lobos Creek Valley",
"GG97","Carpobrotus edulis","Iceplant","Brian Mattos;  Jake Sigg","Presidio Natural Resources","1994-04-29",1994,,,,,4.517,,,"Public Land","San Francisco",37.802427,-122.463199,"Crissy Bluffs; East Crissy Bluffs",
"GG89","Carpobrotus edulis","Iceplant","Brian Mattos;  Jake Sigg","Presidio Natural Resources","1994-04-29",1994,,,,,24.09,,,"Public Land","San Francisco",37.804945,-122.45791,"Crissy Field",
"GG125","Carpobrotus edulis","Iceplant","Dale Smith;  Pete Holloran;  Ingrid Cabada","Presidio Natural Resources","1994-05-01",1994,,,,,33.47,,,"Public Land","San Francisco",37.788087,-122.47918,"Lobos Creek Valley",
"GG56","Carpobrotus edulis","Iceplant","Arnie Peterson","Presidio Natural Resources","1994-05-02",1994,,,,,4.964,,,"Public Land","San Francisco",37.794934,-122.460471,"Tennessee Hollow; Western Tributary",
"GG51","Carpobrotus edulis","Iceplant","Arnie Peterson","Presidio Natural Resources","1994-05-09",1994,,,,,28.59,,,"Public Land","San Francisco",37.793259,-122.458813,"Inspiration Point",
"GG50","Carpobrotus edulis","Iceplant","Arnie Peterson;  Sue Smith","Presidio Natural Resources","1994-05-09",1994,,,,,4.964,,,"Public Land","San Francisco",37.794934,-122.460471,"Tennessee Hollow; Western Tributary",
"GG48","Carpobrotus edulis","Iceplant","Arnie Peterson;  Sue Smith","Presidio Natural Resources","1994-05-09",1994,,,,,28.59,,,"Public Land","San Francisco",37.793259,-122.458813,"Inspiration Point",
"GG92","Carpobrotus edulis","Iceplant","Brian Mattos;  Jake Sigg","Presidio Natural Resources","1994-05-11",1994,,,,,2.58,,,"Public Land","San Francisco",37.804547,-122.473419,"Doyle Drive Natural Areas",
"GG88","Carpobrotus edulis","Iceplant","Brian Mattos;  Jake Sigg","Presidio Natural Resources","1994-05-11",1994,,,,,0.659,,,"Public Land","San Francisco",37.79943,-122.478181,"World War II; Triangle",
"GG128","Carpobrotus edulis","Iceplant","Dale Smith;  Pete Holloran;  Ingrid Cabada","Presidio Natural Resources","1994-05-13",1994,,,,,5.15,,,"Public Land","San Francisco",37.791849,-122.47594,"Southwest Dunes; Wherry Corridor",
"GG127","Carpobrotus edulis","Iceplant","Dale Smith;  Pete Holloran;  Ingrid Cabada","Presidio Natural Resources","1994-05-13",1994,,,,,,,,"Public Land","San Francisco",37.79664,-122.47878,"Dune Corridor East of Lincoln",
"GG266","Carpobrotus edulis","Iceplant","Laura Nelson","Presidio Natural Resources","1994-05-17",1994,,,,,7.2,,,"Public Land","San Francisco",37.794541,-122.453329,"Tennessee Hollow; Eastern Tributary",
"GG98","Carpobrotus edulis","Iceplant","Brian Mattos","Presidio Natural Resources","1994-05-17",1994,,,,,13.277,,,"Public Land","San Francisco",37.804201,-122.476875,"Coastal Bluffs; Coastal Defense Batteries",
"GG119","Carpobrotus edulis","Iceplant","Dale Smith;  Ingrid Cabada","Presidio Natural Resources","1994-05-20",1994,,,,,33.47,,,"Public Land","San Francisco",37.788087,-122.47918,"Lobos Creek Valley",
"GG116","Carpobrotus edulis","Iceplant","Dale Smith;  Ingrid Cabada;  Pete Holloran","Presidio Natural Resources","1994-05-22",1994,,,,,,,,"Public Land","San Francisco",37.79664,-122.47878,"Dune Corridor East of Lincoln",
"GG185","Carpobrotus edulis","Iceplant","Eva Gnotkopp;  Tom Celebrezze;  Ellen Fusco","Presidio Natural Resources","1994-05-22",1994,,,,,,,,"Public Land","San Francisco",37.7889,-122.46889,"Golf Course West",
"GG90","Carpobrotus edulis","Iceplant","Brian Mattos;  Jake Sigg","Presidio Natural Resources","1994-05-23",1994,,,,,2.94,,,"Public Land","San Francisco",37.800291,-122.471132,"Dragonfly Creek",
"GG126","Carpobrotus edulis","Iceplant","Dale Smith;  Pete Holloran;  Ingrid Cabada","Presidio Natural Resources","1994-06-01",1994,,,,,23.92,,,"Public Land","San Francisco",37.793768,-122.477743,"Southwest Dunes",
"GG124","Carpobrotus edulis","Iceplant","Dale Smith;  Pete Holloran;  Ingrid Cabada","Presidio Natural Resources","1994-06-01",1994,,,,,12.98,,,"Public Land","San Francisco",37.7918,-122.483107,"Baker Beach",
"GG121","Carpobrotus edulis","Iceplant","Dale Smith;  Ingrid Cabada","Presidio Natural Resources","1994-06-01",1994,,,,,6.41,,,"Public Land","San Francisco",37.798079,-122.478292,"WW II Memorial",
"GG117","Carpobrotus edulis","Iceplant","Dale Smith;  Ingrid Cabada;  Pete Holloran","Presidio Natural Resources","1994-06-01",1994,,,,,2.691,,,"Public Land","San Francisco",37.797625,-122.477489,"World War II; Sunset Scrub",
"GG115","Carpobrotus edulis","Iceplant","Dale Smith;  Ingrid Cabada;  Pete Holloran","Presidio Natural Resources","1994-06-01",1994,,,,,12.98,,,"Public Land","San Francisco",37.7918,-122.483107,"Baker Beach",
"GG321","Carpobrotus edulis","Iceplant","Maria Alvarez","Presidio Natural Resources","1994-06-06",1994,,,,,2.94,,,"Public Land","San Francisco",37.800291,-122.471132,"Dragonfly Creek",
"GG670","Carpobrotus edulis","Iceplant","Sharon Farrell;  Sue Gardner","Presidio Natural Resources","1994-06-11",1994,,,,,12.36,,,"Public Land","San Francisco",37.794101,-122.455672,"Tennessee Hollow; Central Tributary",
"GG669","Carpobrotus edulis","Iceplant","Sharon Farrell;  Sue Gardner","Presidio Natural Resources","1994-06-13",1994,,,,,,,,"Public Land","San Francisco",37.79196,-122.45262,"Julius Khan Playground",
"GG671","Carpobrotus edulis","Iceplant","Sharon Farrell;  Wende Reulaender","Presidio Natural Resources","1994-06-16",1994,,,,,8.24,,,"Public Land","San Francisco",37.795427,-122.475733,"Rob Hill",
"GG307","Carpobrotus edulis","Iceplant","Lisa Meunier;  Ellen Fusco;  Eva Gnotkopp","Presidio Natural Resources","1994-06-26",1994,,,,,19.77,,,"Public Land","San Francisco",37.791101,-122.473969,"Presidio Hills",
"GG183","Carpobrotus edulis","Iceplant","Eva Gnotkopp;  Ellen Fusco","Presidio Natural Resources","1994-07-27",1994,,,,,19.77,,,"Public Land","San Francisco",37.791101,-122.473969,"Presidio Hills",
"GG130","Carpobrotus edulis","Iceplant","Ellen Fusco;  Eva Gnotkopp","Presidio Natural Resources","1994-07-27",1994,,,,,19.77,,,"Public Land","San Francisco",37.791101,-122.473969,"Presidio Hills",
"gr3295","Layia carnosa","Beach Layia","staff","The Nature Conservancy","1995-01-01",1995,,,,,,,,"Public Land","Humboldt",40.8300018,-124.1800003,"LANPHERE-CHRISTENSEN DUNES PRESERVE",
"xr166793","Carpobrotus edulis","Iceplant","Dean Wm. Taylor","Dean W. Taylor Herbarium Specimens","1995-01-26",1995,,,,,,,,,"Monterey",36.69833,-121.80778,"1 mi NW of Marina; at N end of Marina State Beach at N end of Dunes Drive",
"GG571","Carpobrotus edulis","Iceplant","Mike Vasey","Presidio Natural Resources","1995-05-01",1995,,,,,4.05,,,"Public Land","San Francisco",37.796458,-122.478599,"Southwest Dunes; East of Lincoln",
"GG213","Carpobrotus edulis","Iceplant","Joe Cannon","Presidio Natural Resources","1995-06-16",1995,,,,,,,,"Public Land","San Francisco",37.8,-122.468,"Reservoir Cultural Plantation",
"ce196","Carpobrotus edulis","Iceplant","Bob Muns","Tom Chester","1996-01-01",1996,,,,,,,,"Public Land","Orange",33.579301,-117.839183,"Crystal Cove State Park",
"ce336","Carpobrotus edulis","Iceplant","staff","National Park Service;  Species in Parks (UC Davis)","1996-01-01",1996,,,,,137,,,"Public Land","San Diego",32.671026,-117.239913,"Cabrillo National Monument",
"ce336","Mesembryanthemum edule","Iceplant","staff","National Park Service;  Species in Parks (UC Davis)","1996-01-01",1996,,,,,137,,,"Public Land","San Diego",32.671026,-117.239913,"Cabrillo National Monument",
"GG504","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1996-01-01",1996,,,,,2.337,,,"Public Land","San Francisco",37.790036,-122.473533,"Presidio Hills; Lessingia Recovery",
"GG485","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1996-03-01",1996,,,,,1.553,,,"Public Land","San Francisco",37.790847,-122.473403,"Presidio Hills; East Scrub",
"GG510","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1996-05-01",1996,,,,,1.496,,,"Public Land","San Francisco",37.79094,-122.474174,"Presidio Hills; Wetland",
"gr63","Carpobrotus edulis","Iceplant","Hrusa, G.F.","G.F. Hrusa checklists","1997-01-01",1997,,,,,,,,"Public Land","Alameda",37.81667,-122.3,"Oakland Army Base East Bay Region; Oakland Army Base spit tip at base of Bay Bridge.",
"casp75","Carpobrotus edulis","Iceplant","Archambault, 1997","California State Parks","1997-01-01",1997,,,,,,,,"State Government","Santa Barbara",34.68567,-120.42006,"La Purisima Mission SHP",
"GG488","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1997-04-01",1997,,,,,23.92,,,"Public Land","San Francisco",37.793768,-122.477743,"Southwest Dunes",
"GG480","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1997-04-01",1997,,,,,43.83,,,"Public Land","San Francisco",37.802669,-122.478749,"Coastal Bluffs",
"GG494","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1997-04-01",1997,,,,,1.943,,,"Public Land","San Francisco",37.791392,-122.47441,"Presidio Hills; Scrub Recovery",
"GG497","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1997-05-07",1997,,,,,1.703,,,"Public Land","San Francisco",37.795363,-122.475699,"Rob Hill; Communications Building",
"GG498","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1997-05-07",1997,,,,,1.207,,,"Public Land","San Francisco",37.795358,-122.474552,"Rob Hill; Top of Battery",
91993,"Riparia riparia","Bank Swallow","pvmoutside","inaturalist","1997-05-10",1997,,,,,,,,,,42.1200952,-71.8795166,"Hodges Village Dam",
"xr325024","Carpobrotus edulis","Iceplant","Glazner, J.","G.F. Hrusa checklists","1998-01-01",1998,,,,,,,,,"San Diego",32.63333,-116.9,"Coastal Salt Marshes",
"casp134","Carpobrotus edulis","Iceplant","Brothers, 1998","California State Parks","1998-01-01",1998,,,,,,,,"State Government","San Diego",32.92183,-117.24965,"Torrey Pines SNR",
"xr325021","Carpobrotus edulis","Iceplant","Hrusa, G.F.","G.F. Hrusa checklists","1998-01-01",1998,,,,,,,,,"Solano",38.11667,-121.83333,"East Bay Region; Future site of Calpine generating plant, along Antioch-Pittsburgh Hwy, adjacent to Dow Chemical",
"casp90","Carpobrotus edulis","Iceplant","Fosbrink, 1998","California State Parks","1998-01-01",1998,,,,,,,,"State Government","Ventura",34.22567,-119.25884,"McGrath SB",
"GG512","Carpobrotus edulis","Iceplant","Michael Chasse","Presidio Natural Resources","1998-04-01",1998,,,,,2.374,,,"Public Land","San Francisco",37.797723,-122.479351,"North Baker Beach; Yerba Buena Dunes",
"ce63","Carpobrotus edulis","Iceplant","S Schettler, M Silberstein,  R Morgan,  D Hillyard, E Mercurio, J Griffin, P Slattery and John King.","Monterey Bay National Marine Sanctuary; De Vogelaere, A., J. Holte, M. Silberstein, M. Jacobi. 1998.","1998-04-20",1998,,,,,,,,"Public Land","Monterey",36.821767,-121.739158,"Elkhorn Slough and adjacent uplands",
"jgr12808","Trifolium amoenum","Showy Indian Clover","Jeff Greenhouse",,"1998-05-05",1998,,,,,,,,"Other / Unknown","Marin",38.2507515,-122.9652768,"Dillon Beach",
"wb1076-5","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-04",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.61201858,-121.71621691,"Fort Ord National Monument",
"wb1076-0","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-05",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.63175865,-121.69901907,"Fort Ord National Monument",
"wb1076-1","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-06",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.63053872,-121.73017312,"Fort Ord National Monument",
"wb1076-3","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-06",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.61966597,-121.73060503,"Fort Ord National Monument",
"wb1076-4","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-06",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.62089688,-121.73322162,"Fort Ord National Monument",
"wb1076-2","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1998-08-13",1998,,,,,,,,"* Bureau of Land Management","Monterey",36.62970564,-121.73660013,"Fort Ord National Monument",
"casp81","Carpobrotus edulis","Iceplant","Goode et al, 1999","California State Parks","1999-01-01",1999,,,,,,,,"State Government","Los Angeles",34.06088,-118.92631,"Leo Carrillo SP",
"ce195","Carpobrotus edulis","Iceplant","Bob Munz","Tom Chester","1999-01-01",1999,,,,,,,,"Public Land","Orange",33.698386,-118.038396,"Bolsa Chica Marsh",
"casp41","Carpobrotus edulis","Iceplant","CNPS: Scherer, et al., 1999","California State Parks","1999-01-01",1999,,,,,,,,"State Government","Sonoma",38.52293,-123.23546,"Fort Ross SHP",
"wb1077-0","Carpobrotus edulis","Iceplant","S. Hubbard","Bureau of Land Management","1999-02-23",1999,,,,,,,,"* Bureau of Land Management","Monterey",36.62481718,-121.74655187,"Fort Ord National Monument",
188389,"Riparia riparia","Bank Swallow","kpmcfarland","inaturalist","1999-07-15",1999,,,,,,,,,,43.5568,-72.3829,"Hartland-Sumner Falls Sand Pit",
"gr7951","Carpobrotus edulis","Iceplant","Wilma Follette et al.","Marin CNPS","2000-04-04",2000,,,,,,,,"Public Land","Marin",38.1087,-122.8498,"Tomales Bay State Park, Millerton Point",
"ce291","Carpobrotus edulis","Iceplant","Patricia Gordon-Reedy (CBI), Fred Sproul","CA Department of Fish and Game","2000-08-01",2000,,,,,2638,,,"Public Land","San Diego",32.816276,-116.879768,"Crestridge Ecological Reserve",
"gr13887","Carpobrotus edulis","Iceplant","Toni Corelli","Santa Clara Valley Chapter CNPS","2001-01-01",2001,,,,,,,,"Public Land","San Mateo",37.56931,-122.499918,"Montara Mountain, San Mateo County Includes Devil's Slide/McNee Ranch State Park/San Pedro County Park/ Pedro Point Headlands/and part of San Francisco Peninsula Watershed",
